ID,Categoria,Subcategoria,Requisito / Atividade,Descrição Técnica,Referência Normativa,Periodicidade,Critério de Aceitação / Tolerância,Sistema Aplicável,Responsável,Instrumento / Equipamento,Penalidade se Descumprido,Observações,Página
RM-019,Operacional,Gestão de Equipamentos,Plano de manutenção preventiva de equipamentos de medição,"Execução de manutenção preventiva programada (calibração, inspeção, substituição de peças) conforme plano anual de campanhas enviado ao fornecedor.",Norma 44; RTM ANP; Plano anual de manutenção,Anual (planejamento) / conforme periodicidade por equipamento,100% dos equipamentos com manutenção realizada dentro da janela planejada; máximo 180 dias para substituição de itens críticos (Norma 44),Todos os sistemas topside metering (339 equipamentos),Fiscal Metering Engineer (gestão) / Fornecedor (execução),CMMS; plano de manutenção; CompactProver,Desvio de conformidade metrológica; risco de autuação ANP,Planejamento anual enviado até 31/janeiro. 339 equipamentos identificados no apêndice A (90% concluído).,1
RM-020,Operacional,Gestão de Equipamentos,Controle de disponibilidade e spare parts críticos,"Gestão de sobressalentes críticos para garantir substituição dentro das janelas regulatórias (Norma 44), evitando paradas prolongadas por falta de peças.",Norma 44; contrato PSA (cláusulas de spare parts),Conforme criticidade e lead time (planejamento trimestral),Spare parts críticos disponíveis dentro do lead time acordado (≤ 45 dias para itens contratuais vs 60-90 dias mercado spot),Todos os sistemas de medição (conforme lista de criticidade / FMEA),Fornecedor (coleta/envio) / Laboratório acreditado (análise),Inventário; FMEA; sistema de procurement (APR),Parada de equipamento fiscal por falta de peças; não conformidade com Norma 44,Modelo híbrido: itens críticos de alto valor em propriedade do cliente; itens menores em consignação do vendor.,1
RM-021,Operacional,Amostragem,Plano de amostragem físico-química de petróleo,"Execução do plano de coleta de amostras de petróleo conforme periodicidade definida no contrato e no RTM. Inclui coleta, acondicionamento, transporte e envio a laboratório acreditado. Prazo: coleta até o 35º dia (aprop.) ou 83º dia (fiscal compartilhada), laudo emitido em ≤ 30 dias e disponibilizado ao contratante em ≤ 20 dias após coleta; implementação em ≤ 1 du após emissão.",RTM Nº1 Anexo B Tab. 4; ANP 52/2013,Conforme plano; máx. 42 dias (fiscal compartilhada) / 90 dias (aprop. contínua),100% das coletas no prazo; laudo válido por laboratório acreditado; implementação rastreada no FCS,Medição Fiscal / Apropriação,Fiscal Metering Engineer / Fornecedor especialista,Amostrador de processo; laboratório acreditado,Penalidade contratual por atraso; dado de BSW/ρ inválido para fins fiscais,Coordenar com operações para abertura dos sistemas de amostragem. Aplicar escopo da ANP 52/2013.,2
RM-022,Operacional,Amostragem,Plano de amostragem físico-química de gás natural,"Coleta, acondicionamento e envio de amostras de gás a laboratório acreditado para análise de composição, poder calorífico, densidade e teores de inertes/contaminantes. Prazo: coleta ≤ 35 dias; laudo emitido ≤ 30 dias; implementação ≤ 1 du após emissão.",RTM Nº1 Anexo B Tab. 5; ANP 52/2013; AGA Report 9,30 dias (fiscal) / 90 dias (aprop./TC),Laudo de laboratório acreditado; composição implementada no CG; rastreabilidade documentada,Medição Fiscal de Gás,Fiscal Metering Engineer (Reservatório) / Fiscal Metering Engineer (Medição),Cilindro de amostragem; amostrador automático; laboratório acreditado,Dado de composição inválido; impacto no cálculo AGA-8 e faturamento fiscal,Frequência 30 dias para fiscal; vide Tabela 5 RTM para custódia e apropriação.,2
RM-023,Metrológico,Multifásico,Verificação de desempenho do MPFM,Comparação periódica do medidor multifásico (MPFM) com referência autorizada pela ANP (separador de teste ou provador mist. verifyer). Documentar resultados e aplicar plano de ação se desvio fora de faixa.,ANP 44/2015; RTM Nº1 § 6.5,Conforme plano de verificação aprovado pela ANP,"Desvio por fase dentro dos limites do plano aprovado: HC (massa) ≤ 1%, volume óleo ≤ 5%, gás ≤ 0,2% (após correções de densidade e zeros). Relatório de verificação emitido e arquivado.",Sistema MPFM (Apropriação),Fiscal Metering Engineer (R) / Fornecedor (suporte técnico),MPFM; separador de teste; EC Componet,NFSM à ANP se desvio persistente; suspensão do uso do MPFM para apropriação,"Envelope de operação validado obrigatório (ANP 44, § 5). Antecedência mínima de 550 dias para aprovação inicial. ✅ Este item absorveu RM- 011 (limites de desvio MPFM × referência). Desvios iniciais de até 25% em óleo corrigidos com inclusão de dados de densidade e BSW.",2
RM-024,Metrológico,Multifásico,Atualização de dados PVT do MPFM,"Manutenção e atualização dos dados PVT (Pressão-Volume- Temperatura) utilizados no cálculo do MPFM, conforme plano aprovado pela ANP. Atualização obrigatória após mudanças significativas nas condições de reservatório.",ANP 44/2015 § 4; RTM Nº1,Conforme plano aprovado; atualização obrigatória após mudança significativa de condições,Dados PVT dentro do prazo; relatório de atualização registrado; cálculo do MPFM com PVT vigente,MPFM,Fiscal Metering Engineer (R) / Fiscal Metering Team (execução do fechamento),Software PVT; dados de laboratório de fluido; MPFM,Dado de appropriação incorreto; NFSM à ANP; reprocessamento de volumes,"Plano de atualização PVT deve conter critérios objetivos de obrigatoriedade (ANP 44, § 4.7).",2
RM-025,Regulatório,Envio de Dados,Envio de dados ao SFP da ANP – medição em linha,"Envio de dados e informações dos sistemas de medição fiscal em linha ao SFP da ANP em até 1 dia útil após fechamento diário da produção. Em caso de indisponibilidade do SFP (≥ 2h), prazo é prorrogado 1 du por dia afetado.",ANP 737/2018 § 6.1.1; RTM Nº1 § 10.2,≤ 1 dia útil após fechamento diário,100% dos envios dentro do prazo; registro de envio confirmado pelo SFP; zero envios fora do prazo por responsabilidade do fornecedor,Medição Fiscal em Linha,Fiscal Metering Engineer (R) / Fornecedor (suporte),SFP da ANP; sistema de export de dados (FCS/EC Componet); arquivo XML,Penalidade ANP por atraso; penalidade contratual se atraso por responsabilidade do fornecedor,"Abrange medição fiscal, apropriação contínua e TC quando solicitado pela ANP (ANP 737 § 5.1).",2
RM-026,Regulatório,Envio de Dados,Envio de dados ao SFP da ANP – medição em tanque,"Envio de dados dos sistemas de medição em tanque ao SFP em até 1 dia útil após a medição, incluindo volumes corrigidos, temperaturas, densidade e fatores utilizados no cálculo.",ANP 737/2018 § 6.1.2; RTM Nº1 § 10.2,≤ 1 dia útil após a medição,100% dos envios dentro do prazo; arquivo XML sem erros de validação,Medição em Tanque,Fiscal Metering Engineer (R) / Fiscal Metering Team,SFP ANP; sistema de medição automática de nível; software de gerenciamento de tanques,Penalidade ANP por atraso; penalidade contratual proporcional,"Aplicar também a dados de BSW, FE e teste de poço (prazos específicos: BSW 1du / FE 1du / poço 5du).",2
RM-027,Regulatório,Envio de Dados,Envio de Fator de Encolhimento (FE) ao SFP,Envio do fator de encolhimento (FE) ao SFP da ANP em até 1 dia útil após implementação do novo resultado de análise. O FE deve ser rastreado à análise físico-química que o originou.,ANP 737/2018 § 6.1; ANP 52/2013,≤ 1 dia útil após implementação do novo FE,FE enviado dentro do prazo; rastreabilidade ao laudo de análise documentada,Medição Fiscal de Petróleo,Fiscal Metering Engineer (R) / Fornecedor (suporte técnico),SFP ANP; FCS; planilha de controle de FE,Dado de produção incorreto enviado à ANP; necessário retificação,FE deve refletir última análise válida implementada (ANP 52/2013).,2
RM-028,Regulatório,Envio de Dados,Envio de resultados de teste de poço ao SFP,"Envio dos resultados de teste de poço (potencial de produção e vazoes de petróleo, gás e água) ao SFP da ANP em até 5 dias úteis após a realização do teste.",ANP 737/2018 § 6.1; RTM Nº1 § 7.2.9,≤ 5 dia útil após o teste,Relatório de teste de poço completo e enviado ao SFP dentro do prazo; todos os campos obrigatórios preenchidos,Sistema de Medição para Teste de Poço,Fiscal Metering Engineer (R) / Fornecedor (documentação),SFP ANP; separador de teste; EC Componet,Penalidade ANP por atraso; dado de apropriação desatualizado,Relatório de teste deve atender ao § 10.1.5 do RTM. Resultado utilizado na apropriação de produção aos poços.,2
RM-029,Regulatório,Cadastro e Alterações,Cadastro e atualização de pontos de medição no SFP,"Manutenção atualizada do cadastro de pontos de medição fiscais, de apropriação, TC e operacionais no SFP da ANP. Qualquer alteração nos sistemas de medição deve ser atualizada no cadastro em até 3 dias úteis após a realização da alteração.",ANP 737/2018 § 3.1.3,≤ 3 dia útil após a alteração,Cadastro SFP atualizado e consistente com P&ID vigente; zero discrepâncias em auditoria da ANP,Todos os pontos de medição,Fiscal Metering Engineer (R) / Fiscal Metering Team,SFP ANP; P&ID; lista de pontos de medição,Penalidade ANP por inconsistência no cadastro; risco de multa por não conformidade regulatória,"Inclui: alteração de medidor, instrumento, computador de vazão ou configuração com impacto na medição.",2
RM-030,Regulatório,Autorização de Uso,Dossîê e aprovação de Autorização de Uso (AU),"Preparação e envio do dossîê de Autorização de Uso à ANP com antecedência mínima de 30 dias antes do protocolo. Inclui: memorial descritivo, P&ID, certificados, estudos de incerteza, PVT (para MPFM) e planos operacionais.",RTM Nº1 § 5; ANP 44/2015 § 5.5 a 5.7; ANP 737/2018,≥ 30 dias antes do protocolo ANP,Dossîê completo entregue à Equinor ≥ 30 dias antes; aprovado pela ANP antes do início de operação regulatória,Todos os pontos de medição fiscais e MPFM,Fornecedor (calibração) / Fiscal Metering Team (verificação de lacres e integridade),SFP ANP; P&ID; estudos de incerteza; certificados de calibração,Sistema de medição não autorizado pela ANP = medição fiscal inválida; autução ANP,Para MPFM: antecedência de 550 dias para aprovação complementar (ANP 44 § 5.7). Documentação pós-alteração: ≤ 15 dias (CONTRATOS § Doc).,2
RM-031,Regulatório,Queima e Ventilação,Controle de queima e ventilação de gás natural,Monitoramento e controle do IUGA (Índice de Utilização de Gás Associado) conforme PAP aprovado pela ANP. Volume de queima/perda mensal não pode exceder o correspondente ao IUGA do PAP + 15%. Comunicação de queima extraordinária em até 72 horas do evento.,ANP 806/2020 Art. 3 e 15; RTM Nº1 § 7.5.3c,Monitoramento mensal; notificação ≤ 72h após queima extraordinária,IUGA ≥ 97% (marítima) ou ≥ 98% (novas instalações); queima ordinária ≤ 3%; comunicação de queima extr. no prazo,Sistema de Medição Operacional (Queima),Fiscal Metering Engineer (gestão) / Fornecedor (execução de calibração no prazo),Medidor de queima; EC Componet; relatório mensal de produção,Pagamento de royalties sobre volume queimado além do autorizado; multa ANP; perda de autorização de queima,Queima em teste de poço: até 72h de fluxo franco sem aprovação prévia (ANP 806 Art. 7 III).,2
RM-032,Metrológico,Provador,Operação e verificação do CompactProver,"Operação, verificação de integridade e calibração periódica do CompactProver utilizado como padrão de referência para proving dos medidores de vazão fiscais. Inclui testes de vazação interna e externa e verificação de lacres.",API MPMS Cap. 4.2/4.3; RTM Nº1 § 9.2; INMETRO 291/2021,12 meses (calibração) / semestral (teste de não-vazação interno),"Desvio máximo entre calibrações sucessivas ≤ 0,02% do volume de referência; testes de estanqueidade aprovados",Medição Fiscal Monofásica,Fornecedor (calibração) / Fiscal Metering Team (verificação),CompactProver; padrões de referência rastreados; detector de vazamento,Prover inválido = proving inválido; medição fiscal suspensa,Lacre do detector de deslocamento obrigatório (RTM § 9.2.4.1). Teste de não-vazação a cada 1/3 da periodicidade de calibração.,2
RM-033,Metrológico,Calibração,Calibração e alertas de vencimento de padrões,"Sistema estruturado de alertas de vencimento de calibração para todos os padrões e instrumentos: alerta vermelho 15 dias antes, amarelo 30 dias antes, pré-alerta 60 dias antes. Remoção preventiva de padrões vencidos com 30 dias de antecedência.",RTM Nº1 § 9.1; CONTRATOS § Alertas; ISO/IEC 17025,Contínuo (sistema automático de alertas),Zero padrões vencidos a bordo; 100% dos alertas gerados e documentados nos prazos definidos,Todos os sistemas de medição,Fornecedor (calibração) / Fiscal Metering Engineer (suporte/validação),CMMS; planilha de controle de validade; sistema de alertas,Penalidade automática (cláusula Y2) por padrão vencido a bordo; histórico de alerta como evidência de diligência,EMA em serviço = dobro dos EMA de verificação subsequente (INMETRO 291 § 2.4.3.3). Freq 6 meses para apropriação/TC. ✅ Este item absorveu RM-003 (calibração genérica de T/P).,2
RM-034,Metrológico,Calibração,Calibração de instrumentos T/P (fiscal) com antecedência,"Calibração de transmissores de temperatura e pressão utilizados em medição fiscal realizada com no mínimo 10 dias de antecedência ao vencimento. Periodicidade: 3 meses (fiscal). EMA: T ±0,3°C / P ±50kPa a ±200kPa conforme faixa.",RTM Nº1 Anexo B Tab. 1; INMETRO 291/2021 Tab. 4,3 meses (fiscal) | execução ≥ 10 dias antes do vencimento,Certificado emitido dentro do prazo; EMA dentro dos limites INMETRO 291 Tab. 4; rastreabilidade completa,Medição Fiscal de Petróleo,Fornecedor (calibração) / Fiscal Metering Engineer (suporte/validação),Transmissores de T e P; padrões de calibração rastreados,Instrumento sem calibração válida = medição fiscal inválida; NFSM obrigatória,EMA em serviço = dobro dos EMA de verificação subsequente (INMETRO 291 § 2.4.3.3). Freq 6 meses para apropriação/TC.,2
RM-035,Metrológico,Calibração,Calibração de medidores em operação – petroléo (fiscal),Calibração dos medidores de vazão monofásicos em operação (fiscal de petróleo) realizada com no mínimo 15 dias de antecedência ao vencimento da periodicidade. Periodicidades: DP/Rotativo/Turbina e outras tecn. = 3 meses; Coriolis e Ultrassônico = 6 meses.,RTM Nº1 Anexo B Tab. 1; INMETRO 291/2021,3 meses (DP/Rot./Turbina/Outras) | 6 meses (Coriolis/USM) | execução ≥ 15d antes do vencimento,"Variação do fator de medidor ≤ 0,25% em relação à calibração anterior; aprovado em ≥ 3 corridas consecutivas",Medição Fiscal de Petróleo,Fornecedor (execução) / Fiscal Metering Team (verificação),Medidor em operação; CompactProver; padrões rastreados,"Falha presumida se variação > 0,25%; medição suspensa; NFSM obrigatória","Critério de falha presumida: ΔFM > 0,25% (fiscal/TC) ou > 2% (apropriação) – RTM § 9.4.5.5/9.4.5.6.",2
RM-036,Metrológico,Calibração,Calibração de medidores em operação – gás natural (fiscal),Calibração dos medidores de vazão de gás natural em operação (fiscal) com antecedência mínima de 15 dias ao vencimento. Periodicidades: DP/Rotativo/Turbina = 3 meses; Coriolis/Outras tecn. = 6 meses; Ultrassônico = 6 meses.,RTM Nº1 Anexo B Tab. 2,3 meses (DP/Rot./Turbina/Outras) | 6 meses (Coriolis/USM) | execução ≥ 15d antes do vencimento,"Variação do fator de medidor ≤ 0,25% (fiscal/TC); aprovado em 3 corridas; certificado com rastreabilidade",Medição Fiscal de Gás Natural,Fornecedor (execução) / Fiscal Metering Engineer (gestão e acompanhamento),Medidor de gás em operação; medidor padrão de trabalho; computador de vazão,"Falha presumida se ΔFM > 0,25% (fiscal) ou > 2% (apropriação); NFSM obrigatória",Medidores Rotativos TC gás produzido: teste de desempenho semestral obrigatório (RTM Tab. 2 nota *).,2
RM-037,Metrológico,Calibração,Inspeção dimensional de elementos primários (placas de orifício),"Inspeção dimensional e verificação do afiamento das placas de orifício utilizadas nos medidores fiscais. Inclui: placa, porta-placas, trecho reto e condições de instalação.",RTM Nº1 Anexo B Tab. 3; AGA 3; ISO 5167,12 meses (placa) | 36 meses (porta- placas e trecho reto),Dimensões dentro das tolerâncias AGA 3 / ISO 5167; certificado de inspeção dimensional emitido,Medição Fiscal / Transferência de Custódia,Fornecedor (execução) / Fiscal Metering Team (verificação),Placa de orifício; calibrador dimensional; laboratório de metrologia dimensional,Placa fora de especificação = medição inválida; substituição imediata obrigatória,Laboratório de inspeção dimensional deve ser acreditado pelo INMETRO (RTM Art. 4).,2
RM-038,Metrológico,Calibração,Inspecção de tanques e arqueamento,"Inspeção interna e externa periódica dos tanques de estocagem utilizados na medição em tanque, verificando danos, incrustações e depósitos que possam afetar a tabela de arqueamento. Campanha de arqueamento com antecedência de 90 dias e programação 30 dias antes do vencimento.",RTM Nº1 § 9.5; Anexo B Tab. 3,60 meses; campanha ≥ 90d antes; execução ≥ 30d antes do vencimento,Tabela de arqueamento válida emitida pelo INMETRO; inspeção aprovada sem pendências que afetem a medição,Medição em Tanque,Fiscal Metering Engineer (R) / Auditores internos ou externos,Tanque de estocagem; trena; nivelómetro; equipe de inspeção,Tabela de arqueamento vencida = medição em tanque inválida para fins fiscais; NFSM obrigatória,"Arqueamento é atribuição do INMETRO (RTM Anexo A). Instrumentos associados (ATG, trenas, termômetros): calibração separada conforme Tab. 1 RTM.",3
